file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00096_0044_190274_to_191708,ཟེར་ནས་ཨུ་ཚུགས་བྱས་པ་ན།  ,zer nas u tshugs byas pa na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00096_0044_190274_to_191708.wav,STT_AB,3,25,1.434,wav16k/STT_AB00096_0044_190274_to_191708.wav,ཟེར་ནས་ཨུ་ཚུགས་བྱས་པ་ན།
STT_NS_M0322_0387_2612721_to_2622124,ཁ་པར་ནང་ལོགས་ལ་ཅིག་མ་བལྟ་བ་ཡིན་ན་གཅིག་བདེ་བོ་མེད་རྒྱོ་འདྲ་བོ་ཡོད་བ། ཨེ་ནས་དམིགས་བསལ་ད་དེ་རིང་ཁ་སང་ཡ་ཡུད་དོ་སྣང་བྱེད་ཀི་རེད། སྔོན་མ་འདྲ་བོ་ཆ་བཞག་པ་ཡིན་ན་ང་ཚོ་སློབ་གྲྭ་དུས་ཚོད་སྐབས་སུ་རཱ།  ,kha par nang logs la cig ma blta ba yin na gcig bde bo med rgyo 'dra bo yod ba/_e nas dmigs bsal da de ring kha sang ya yud do snang byed ki red/_sngon ma 'dra bo cha bzhag pa yin na nga tsho slob grwa dus tshod skabs su rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0322_0387_2612721_to_2622124.wav,STT_NS,3,187,9.403,wav16k/STT_NS_M0322_0387_2612721_to_2622124.wav,ཁ་པར་ནང་ལོགས་ལ་གཅིག་མ་བལྟ་བ་ཡིན་ན་ཅིག་བདེ་བོ་མེད་རྒྱོ་འདྲ་བོ་ཡོད་བ། ཨེ་ནས་དམིགས་བསལ་ད་དེ་རིང་ཁ་སང་ཡ་ཡུད་དོ་སྣང་བྱེད་ཀི་རེད། སྔོན་མ་འདྲ་བོ་ཆ་བཞག་པ་ཡིན་ན་ང་ཚོ་སློབ་གྲྭ་དུས་ཚོད་སྐབས་སུ་རཱ།
STT_NS_M0329_0121_682244_to_691066,ཨེ་ནས་འོ་འདི་ད་དེ་རིང་ཡིག་ཚད་ནང་ད་ང་ཚོ་ཨེ་འདྲའི་དྲི་བ་གཉིས་ཟི་ཨོ་འདི་སྒྲུང་དེབ་དེ་ནས་མར་སླེབས་སོང་རཱ། ཨེ་ནས་གཞན་པ་ང་ཚོ་སྔོན་ནས་ཨེ་འདྲའི་ལྟད་མོ་བལྟ་ཚར་རྒྱོ་སྒྲུང་དེབ་ཅིག་ནང་ལོགས་ནས་མར།  ,e nas 'o 'di da de ring yig tshad nang da nga tsho e 'dra'i dri ba gnyis zi o 'di sgrung deb de nas mar slebs song rA/_e nas gzhan pa nga tsho sngon nas e 'dra'i ltad mo blta tshar rgyo sgrung deb cig nang logs nas mar/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0329_0121_682244_to_691066.wav,STT_NS,3,185,8.822,wav16k/STT_NS_M0329_0121_682244_to_691066.wav,ཨེ་ནས་ཨོ་འདི་ད་དེ་རིང་ཡིག་ཚད་ནང་ད་ང་ཚོ་ཨེ་འདྲའི་དྲི་བ་གཉིས་སི་ཨོ་དེ་སྒྲུང་དེབ་དེ་ནས་མར་སླེབས་སོང་རཱ། ཨེ་ནས་གཞན་པ་ང་ཚོ་སྔོན་ནས་ཨེ་འདྲའི་ལྟད་མོ་བལྟ་ཚར་རྒྱོ་སྒྲུང་དེབ་ཅིག་ནང་ལ་ད་ནས་མར།
STT_TT00621_0190_1491629_to_1497380,སཱ་ད་ང་ཚོ་བོད་པ་ཟེར་ཡ་དེ། གང་ལྟར་སོ་སོ་བོད་པ་ཡིན་པ་དེ། སྤོབས་པ་བྱེད་དགོས་རེད་ད། ཤེས་སོང་ང་།  ,sA da nga tsho bod pa zer ya de/_gang ltar so so bod pa yin pa de/_spobs pa byed dgos red da/_shes song nga /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00621_0190_1491629_to_1497380.wav,STT_TT,3,93,5.751,wav16k/STT_TT00621_0190_1491629_to_1497380.wav,་ད་ང་ཚོ་བོད་པ་ཟེར་ཡ་དེ། ཨེ། གང་ལྟར་ སོ་སོ་བོད་པ་ཡིན་པ་དེ། སྤོབས་པ་བྱེད་དགོས་རེད་ད། ཤེས་སོང་ང་།
STT_NS_M0323_0478_3187013_to_3190218,ཨེ་ནས་འཁྱམ་ག་འགྲོ་དགོས་ཡོད་དུས་ཙམ་པ་ལ་སོ་སོ་གིས་དངུལ་བསག་དགོས་རེད་ལབ་སོང་།  ,e nas 'khyam ga 'gro dgos yod dus tsam pa la so so gis dngul bsag dgos red lab song /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0323_0478_3187013_to_3190218.wav,STT_NS,3,76,3.205,wav16k/STT_NS_M0323_0478_3187013_to_3190218.wav,ཨེ་ནས་འཁྱམ་ག་འགྲོ་ཡོད་དུས་ཙམ་པ་ལ་སོ་སོ་གིས་དངུལ་བསགས་དགོས་རེད་ལབ་སོང་།
STT_NS_M0310_0236_1644329_to_1646582,ལག་ཤེས་སྦྱང་ཡ་དང་དེ་འདྲ་ཀ་ཅི་ཡང་དབྱིངས་མེད་ན།  ,lag shes sbyang ya dang de 'dra ka ci yang dbyings med na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0310_0236_1644329_to_1646582.wav,STT_NS,3,47,2.253,wav16k/STT_NS_M0310_0236_1644329_to_1646582.wav,ལག་ཤེས་སྦྱང་ཡ་དང་དེ་འདྲའི་ཀ་ཅི་ཡང་དབྱིངས་མེད་ན།
STT_TT00635_0141_1035947_to_1043421,མི་རྟག་སྡུག་བསྔལ་སྟོང་བ་ཟེ་ཡ་དེ། བྱེད་པ་པོ་ཅིག་ཁོ་བཟོ་མྱི་གི་བྱེ་བྲག་པ་གང་ཟག་ཅིག་ཡོད་པ། ཡོད་པའི་སྟོང་བ་ཅིག་བསྒོམ།  ,mi rtag sdug bsngal stong ba ze ya de/_byed pa po cig kho bzo myi gi bye brag pa gang zag cig yod pa/_yod pa'i stong ba cig bsgom/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00635_0141_1035947_to_1043421.wav,STT_TT,3,115,7.474,wav16k/STT_TT00635_0141_1035947_to_1043421.wav,མི་རྟག་སྡུག་བསྔལ། ལྟོང་བ་ཟེར་ཡ་དེ། བྱེད་པ་པོ། ཅིག་ཁོ་བཟོ་ངི་གི་བྱེ་བྲག་པ་གང་ཟག་ཅིག་ཡོད་པ། ཡོད་པས་སྟོང་བ་ཅིག་སྒོམ།
STT_NS_M0327_0007_79090_to_81168,ཏིག་ཙི་བྲོ་བ་ཆེ་མདོག་ཁག་པོ་མཐོང་སོང་། ད་ཨོ་དེ་ཨེ་འདྲའི།  ,tig tsi bro ba che mdog khag po mthong song /_da o de e 'dra'i/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0327_0007_79090_to_81168.wav,STT_NS,3,57,2.078,wav16k/STT_NS_M0327_0007_79090_to_81168.wav,ཏོག་ཙི་བྲོ་བ་ཤེས་མཉམ་ཁ་བོ་མཐོང་སོང་ ད་ཨོ་དེ་ཨེ་འདྲའི།
STT_TT00623_0642_5589526_to_5592534,དེ་ག་ནང་བཞིན་གི་ཅིག་མཁས་དབང་དེ་འདྲའི་ཐུག་ནས་སྐད་ཆ་བཤད་དུས་ཙ་ནས། སོ་སོ་སོ་སོའི་ ,de ga nang bzhin gi cig mkhas dbang de 'dra'i thug nas skad cha bshad dus tsa nas/_so so so so'i _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00623_0642_5589526_to_5592534.wav,STT_TT,3,79,3.008,wav16k/STT_TT00623_0642_5589526_to_5592534.wav,ད་ག་ནང་བཞིན་གི་ཅིག མཁས་དབང་དེ་འདྲའི་ཐུག་ནས། སྐད་ཆ་བཤད་དུས་ཙ་ནས། སོ་སོ་སོ་སོའི།
STT_TT00621_0251_1941630_to_1944030,སོ་སོའི་དོན་དག་བསམ་བློ་བཏང་པ་ཡིན་ནས། སོ་སོ་དྲང་པོ་བྱས།  ,so so'i don dag bsam blo btang pa yin nas/_so so drang po byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00621_0251_1941630_to_1944030.wav,STT_TT,3,56,2.4,wav16k/STT_TT00621_0251_1941630_to_1944030.wav,སོ་སོའི་དོན་དག་བསམ་བློ་བཏང་པ་ཡིན་ནས། སོ་སོ་དྲང་པོ་བྱས།
STT_TT00636_0387_2734816_to_2737152,ད་དེ་འདྲའི་བྱེད་དགོས་རེད། གཉིས་བྱེད་དགོས་རེད་ལབ་ན། ནམ་ཞིག་མུ་ ,da de 'dra'i byed dgos red/_gnyis byed dgos red lab na/_nam zhig mu _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00636_0387_2734816_to_2737152.wav,STT_TT,3,62,2.336,wav16k/STT_TT00636_0387_2734816_to_2737152.wav,ད་དེ་འདྲའི་བྱེད་དགོས་རེད། གཉིས་བྱེད་དགོས་རེད་ལབ་ན། ནམ་ཕྱི་མོ།
STT_TT00623_0075_667482_to_672312,ཝ་ལན་ཟེ་དེ་འདྲའི་བྱུང་པ་ཡིན་ན། ཨ། བྱ་བྱིའུ་ཚུན་ཆད་ལོ་ཨ་སྡུག་བསྔལ་ཡོང་གི་རེད་བ་ད།  ,wa lan ze de 'dra'i byung pa yin na/_a/_bya byi'u tshun chad lo a sdug bsngal yong gi red ba da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00623_0075_667482_to_672312.wav,STT_TT,3,82,4.83,wav16k/STT_TT00623_0075_667482_to_672312.wav,ཝ་ལེན་ཟེ། དེ་འདྲའི་བྱུང་པ་ཡིན་ན། ཨ། བྱ་བྱིའུ་ཚུན་ཆད་ལོ། ཨ། སྡུག་བསྔལ་ཡོང་གི་རེད་བ་ད།
STT_TT00640_0027_297945_to_299961,ཨ་མའི་ཙ་ནས་འོ་མ་བཏུང་བཞག་པ་འོ་མ་དེ་ཕར་ཆེར་ ,a ma'i tsa nas 'o ma btung bzhag pa 'o ma de phar cher _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00640_0027_297945_to_299961.wav,STT_TT,3,43,2.016,wav16k/STT_TT00640_0027_297945_to_299961.wav,ཨ་མའི་རྩ་ནས་འོ་མ་བཏུང་བཞག་པའ འོ་མ་དེ་ཕར་ཆེར་
STT_TT00623_0045_422107_to_429018,གཅེས་སྤྲད་བྱེད་ཡ། སོ་སོའི་སྲོག་ལ་བརྩི་བོ་བྱེད་པ་ནང་བཞིན། མི་གཞན་དག་གི་སྲོག་ལ་ཡ་བརྩི་བོ་བྱེད་ཡ་ཅིག་གི་བློ་དེ་ཡོད་ན།  ,gces sprad byed ya/_so so'i srog la brtsi bo byed pa nang bzhin/_mi gzhan dag gi srog la ya brtsi bo byed ya cig gi blo de yod na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00623_0045_422107_to_429018.wav,STT_TT,3,116,6.911,wav16k/STT_TT00623_0045_422107_to_429018.wav,གཅེས་སྤྲས་བྱེད་ཡ། སོ་སོའི་སྲོག་ལ་བརྩི་པོ་བྱས་པ་ནང་བཞིན། མི་གཞན་དག་གི་སྲོག་ལ་ཡེ་བརྩི་པོ་བྱེད་ཡ་ཅིག་གི བློ་དེ་ཡོད་ན།
STT_NS_M0316_0445_3341101_to_3344096,ཕན་ཐོགས་པོ་བྱུང་སོང་རཱ། ང་རང་སེམས་ཁམ་རིག་པ་ཀ་ཅི་ད་སློབ་ཚན་ཅིག་ཡོད་རཱ།  ,phan thogs po byung song rA/_nga rang sems kham rig pa ka ci da slob tshan cig yod rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0316_0445_3341101_to_3344096.wav,STT_NS,3,71,2.995,wav16k/STT_NS_M0316_0445_3341101_to_3344096.wav,ཕན་ཐོགས་པོ་བྱུང་སོང་རཱ། ང་རང་སེམས་ཁམས་རིག་པ་ཀ་ཅི་ད་སློབ་ཚན་ཅིག་ཡོད་རཱ།
STT_TT00643_0111_1045709_to_1048269,མ་སྨིན་པ་སྨིན་པར་བྱེད་ཡ་དང་། སྨིན་པ་གྲོལ་བར་བྱེད་ཡ་དེ་འདྲའི།  ,ma smin pa smin par byed ya dang /_smin pa grol bar byed ya de 'dra'i/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00643_0111_1045709_to_1048269.wav,STT_TT,3,62,2.56,wav16k/STT_TT00643_0111_1045709_to_1048269.wav,མ་སྨིན་པ་སྨིན་པར་བྱེད་ཡ་དང་། སྨན་པ་གྲོལ་བར་བྱེད་ཡ་དེ་འདྲའི།
STT_TT00634_0048_395906_to_398018,སེམས་ཅན་སྦྲུལ་མཐོང་སོང་ན། བྲོས་འགྲོ་ཡ།  ,sems can sbrul mthong song na/_bros 'gro ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00634_0048_395906_to_398018.wav,STT_TT,3,40,2.112,wav16k/STT_TT00634_0048_395906_to_398018.wav,སེམས་ཅན་སྦྲུལ་མཐོང་སོང་ན། བྲོད་འགྲོ་ཡ།
STT_TT00626_0052_386459_to_389308,ཨེ་སྤང་བླང་འདྲ་བོ་བྱེད་མྱི་མང་པོ་ཅིག་བྱུང་སོང་ལ།  ,e spang blang 'dra bo byed myi mang po cig byung song la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00626_0052_386459_to_389308.wav,STT_TT,3,50,2.849,wav16k/STT_TT00626_0052_386459_to_389308.wav,སྤང་བླང་འདྲ་བོ་བྱེད་མྱེེ་མང་པོ་ཅིག་བྱུང་སོང་ལ།
STT_NS_M0329_0146_822107_to_828404,ཆུང་ཆུང་ནས་ད་ང་ལ་དྭགས་ལ་ཨེ་ནས་འཚར་ལོངས་བྱེད་དུས་ཡོད་བ། ཨེ་འདྲའི་ལ་དྭགས་ལ་ཁྱི་ཡ་ཡུད་མང་པོ་ཡོད་རེད་མིན་འདུག་གེ། དམིགས་བསལ་གི་ད་བདག་མེད་སེམས་ཅན་ཡོད་བ།  ,chung chung nas da nga la dwags la e nas 'tshar longs byed dus yod ba/_e 'dra'i la dwags la khyi ya yud mang po yod red min 'dug ge/_dmigs bsal gi da bdag med sems can yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0329_0146_822107_to_828404.wav,STT_NS,3,149,6.297,wav16k/STT_NS_M0329_0146_822107_to_828404.wav,ཆུང་ཆུང་ནས་ད་ང་ལ་དྭགས་ལ་ཨེ་ནས་འཚར་ལོངས་བྱེད་དུས་ཡོད་བ་ཨེ་འདྲའི་ལ་དྭགས་ལ་ཁྱི་ཡ་ཡུད་མང་པོ་ཡོད་རེད་མི་འདུག་བེ། དམིགས་བསལ་གི་ད་བདག་མེད་སེམས་ཅན་ཡོད་བ།
STT_TT00624_0170_1146636_to_1149548,ང་ཚོ་ལྟོ་ཆས་འབལ་འབོལ་ཟེ་གེ་ཡོད་མ་རེད། དཔེ་རྒྱ་མི་ཆ་བཞག་ན་རྒྱ་མི་ ,nga tsho lto chas 'bal 'bol ze ge yod ma red/_dpe rgya mi cha bzhag na rgya mi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00624_0170_1146636_to_1149548.wav,STT_TT,3,65,2.912,wav16k/STT_TT00624_0170_1146636_to_1149548.wav,ང་ཚོ་ལྟོ་ཆས་འབལ་པོ་ཟེ་གེ་ཡོད་མ་རེད། དཔེ་རྒྱ་མི་ཆ་བཞག་ན་ རྒྱ་མིའི་ག་
